Countries,Population,As_percent,Date,Source,Note
World,8232000000,100.0,2025-06-13,UN_projection[1][3],
India,1417492000,17.2,2025-07-01,Official_projection[4],[b]
China,1408280000,17.1,2024-12-31,Official_estimate[5],[c]
United_States,340110988,4.1,2024-07-01,Official_estimate[6],[d]
Indonesia,284438782,3.5,2025-06-30,National_annual_projection[7],
Pakistan,241499431,2.9,2023-03-01,2023_census_result[8],[e]
Nigeria,223800000,2.7,2023-07-01,Official_projection[9],
Brazil,213421037,2.6,2025-07-01,Official_estimate[10],
Bangladesh,169828911,2.1,2022-06-14,2022_census_result[11],[f]
Russia,146028325,1.8,2025-01-01,Official_estimate[13],[g]
Mexico,130760049,1.6,2025-09-30,National_quarterly_estimate[14],
Japan,123160000,1.5,2025-12-01,Monthly_national_estimate[15],
Philippines,114123600,1.4,2025-07-01,Official_projection[16],
Democratic_Republic_of_the_Congo,112832000,1.4,2025-07-01,UN_projection[17],
Ethiopia,111652998,1.4,2025-07-01,National_annual_projection[18],
Egypt,107271260,1.3,2025-01-01,Official_estimate[19],
Vietnam,102300000,1.2,2025-12-31,Official_estimate[20],
Iran,85961000,1.0,2024-03-20,Official_estimate[21],
Turkey,85664944,1.0,2024-12-31,Official_estimate[22],
Germany,83497147,1.0,2025-09-30,National_quarterly_estimate[23],
United_Kingdom,69487000,0.8,2025-06-30,Official_estimate[24],[h]
France,68736000,0.8,2025-11-01,Monthly_national_estimate[25],[i]
Tanzania,68153004,0.8,2025-07-01,Official_projection[26],[j]
Thailand,65826149,0.8,2025-11-30,Monthly_national_estimate[27],
South_Africa,63100945,0.8,2025-06-30,Official_estimate[28],
Italy,58947569,0.7,2025-09-30,Monthly_national_estimate[29],
Kenya,53330978,0.6,2025-07-01,Official_projection[30],
Colombia,53057212,0.6,2025-01-01,Official_projection[31],
Sudan,51662000,0.6,2025-07-01,UN_projection[32],
Myanmar,51375327,0.6,2024-10-15,2024_census_result[33],[k]
South_Korea,51143421,0.6,2025-10-31,Monthly_national_estimate[35],
Spain,49442844,0.6,2025-10-01,National_quarterly_estimate[36],
Algeria,47400000,0.6,2025-01-01,National_annual_projection[37],
Argentina,46387098,0.6,2025-07-01,National_annual_projection[38],
Iraq,46118793,0.6,2025-02-24,2024_census_result[39],
Uganda,45905417,0.6,2024-05-10,2024_census_result[40],
